Nominal Size,"Outside Diameter, inches","Wall Thickness, inches",Pressure Class,"Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
0.125,0.405,0.062,Regular,0.281,0.0234,0.0004307,0.000214,0.000005
0.125,0.405,0.1,Extra Strong,0.205,0.0171,0.0002292,0.000293,0.000005
0.25,0.54,0.082,Regular,0.376,0.0313,0.0007711,0.00016,0.000005
0.25,0.54,0.123,Extra Strong,0.294,0.0245,0.0004714,0.000204,0.000005
0.375,0.675,0.09,Regular,0.495,0.0413,0.0013364,0.000121,0.000005
0.375,0.675,0.127,Extra Strong,0.421,0.0351,0.0009667,0.000143,0.000005
0.5,0.84,0.107,Regular,0.626,0.0522,0.0021374,0.000096,0.000005
0.5,0.84,0.149,Extra Strong,0.542,0.0452,0.0016022,0.000111,0.000005
0.75,1.05,0.114,Regular,0.822,0.0685,0.0036853,0.000073,0.000005
0.75,1.05,0.157,Extra Strong,0.736,0.0613,0.0029545,0.000082,0.000005
1,1.315,0.126,Regular,1.063,0.0886,0.006163,0.000056,0.000005
1,1.315,0.182,Extra Strong,0.951,0.0793,0.0049327,0.000063,0.000005
1.25,1.66,0.146,Regular,1.368,0.114,0.010207,0.000044,0.000005
1.25,1.66,0.194,Extra Strong,1.272,0.106,0.0088247,0.000047,0.000005
1.5,1.9,0.15,Regular,1.6,0.1333,0.0139626,0.000038,0.000005
1.5,1.9,0.203,Extra Strong,1.494,0.1245,0.0121739,0.00004,0.000005
2,2.375,0.156,Regular,2.063,0.1719,0.0232127,0.000029,0.000005
2,2.375,0.221,Extra Strong,1.933,0.1611,0.0203794,0.000031,0.000005
2.5,2.875,0.187,Regular,2.501,0.2084,0.0341157,0.000024,0.000005
2.5,2.875,0.28,Extra Strong,2.315,0.1929,0.02923,0.000026,0.000005
3,3.5,0.219,Regular,3.062,0.2552,0.0511373,0.00002,0.000005
3,3.5,0.304,Extra Strong,2.892,0.241,0.0456167,0.000021,0.000005
3.5,4,0.25,Regular,3.5,0.2917,0.0668134,0.000017,0.000005
3.5,4,0.321,Extra Strong,3.358,0.2798,0.0615019,0.000018,0.000005
4,4.5,0.25,Regular,4,0.3333,0.0872665,0.000015,0.000005
4,4.5,0.341,Extra Strong,3.818,0.3182,0.0795059,0.000016,0.000005
5,5.562,0.25,Regular,5.062,0.4218,0.1397564,0.000012,0.000005
5,5.562,0.375,Extra Strong,4.812,0.401,0.1262928,0.000012,0.000005
6,6.625,0.25,Regular,6.125,0.5104,0.204616,0.00001,0.000005
6,6.625,0.437,Extra Strong,5.751,0.4793,0.1803907,0.00001,0.000005
8,8.625,0.312,Regular,8.001,0.6668,0.3491531,0.000007,0.000005
8,8.625,0.5,Extra Strong,7.625,0.6354,0.3171079,0.000008,0.000005
10,10.75,0.365,Regular,10.02,0.835,0.5475992,0.000006,0.000005
10,10.75,0.5,Extra Strong,9.75,0.8125,0.5184855,0.000006,0.000005
12,12.75,0.375,Regular,12,1,0.7853982,0.000005,0.000005
12,12.75,-,Extra Strong,Not an available size,#VALUE!,#VALUE!,#VALUE!,0.000005
