Nominal Size,"Outside Diameter, inches",Pipe Schedule,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
 1/2,0.84,40,0.109,0.615,0.0513,0.002066,0.0001365,0.000007
 1/2,0.84,80,0.147,0.537,0.0448,0.0015739,0.0001564,0.000007
 3/4,1.05,40,0.113,0.817,0.0681,0.0036425,0.0001028,0.000007
 3/4,1.05,80,0.154,0.733,0.0611,0.0029285,0.0001146,0.000007
1,1.315,40,0.133,1.041,0.0868,0.0059108,0.0000807,0.000007
1,1.315,80,0.179,0.946,0.0789,0.0048837,0.0000888,0.000007
1 1/4,1.66,40,0.14,1.372,0.1143,0.0102608,0.0000612,0.000007
1 1/4,1.66,80,0.191,1.267,0.1055,0.0087491,0.0000663,0.000007
1 1/2,1.9,40,0.145,1.601,0.1334,0.0139853,0.0000525,0.000007
1 1/2,1.9,80,0.2,1.488,0.124,0.0120763,0.0000565,0.000007
2,2.375,40,0.154,2.058,0.1715,0.0230949,0.0000408,0.000007
2,2.375,80,0.218,1.926,0.1605,0.0202304,0.0000436,0.000007
2 1/2,2.875,40,0.203,2.457,0.2047,0.0329211,0.0000342,0.000007
2 1/2,2.875,80,0.276,2.306,0.1922,0.0290143,0.0000364,0.000007
3,3.5,40,0.216,3.055,0.2546,0.0509051,0.0000275,0.000007
3,3.5,80,0.3,2.882,0.2402,0.0453018,0.0000291,0.000007
3 1/2,4,40,0.226,3.534,0.2945,0.0681347,0.0000238,0.000007
3 1/2,4,80,0.318,3.345,0.2787,0.0610237,0.0000251,0.000007
4,4.5,40,0.237,4.012,0.3343,0.0877812,0.0000209,0.000007
4,4.5,80,0.337,3.806,0.3171,0.0789978,0.0000221,0.000007
5,5.563,40,0.375,4.791,0.3992,0.1251668,0.0000175,0.000007
5,5.563,80,0.42,4.698,0.3915,0.1203695,0.0000179,0.000007
6,6.625,40,0.28,6.048,0.504,0.1995169,0.0000139,0.000007
6,6.625,80,0.432,5.735,0.4779,0.1793934,0.0000146,0.000007
8,8.625,40,0.322,7.962,0.6635,0.3457298,0.0000106,0.000007
8,8.625,80,0.5,7.595,0.6329,0.3146176,0.0000111,0.000007
10,10.75,40,0.365,9.998,0.8332,0.5452082,0.0000084,0.000007
10,10.75,80,0.593,9.528,0.794,0.4951869,0.0000088,0.000007
12,12.75,40,0.406,11.914,0.9928,0.7741343,0.0000071,0.000007
12,12.75,80,0.687,11.335,0.9446,0.7007346,0.0000074,0.000007
14,14,40,0.437,13.1,1.0916,0.9359559,0.0000064,0.000007
14,14,80,0.75,12.455,1.0379,0.8460867,0.0000067,0.000007
16,16,40,0.5,14.97,1.2475,1.2222808,0.0000056,0.000007
16,16,80,0.843,14.263,1.1886,1.1096212,0.0000059,0.000007
