,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Seconds Saybolt Universal (SSU),Kinematic Viscosity Centistokes*,Seconds Saybolt Furol (SSF),Seconds Redwood (Standard),Seconds Redwood (Admiralty),Degrees Engler,Degrees Barbey,Seconds Parlin Cup #7,Seconds Parlin Cup #10,Seconds Parlin Cup #15,Seconds Parlin Cup #20,Seconds Ford Cup #3,Seconds Ford Cup #4
data,31,1.00,—,29,—,1,6200,—,—,—,—,—,—
data,35,2.56,—,32.1,—,1.16,2420,—,—,—,—,—,—
data,40,4.3,—,36.2,5.1,1.31,1440,—,—,—,—,—,—
data,50,7.4,—,44.3,5.83,1.58,838,—,—,—,—,—,—
data,60,10.3,—,52.3,6.77,1.88,618,—,—,—,—,—,—
data,70,13.1,12.95,60.9,7.6,2.17,483,—,—,—,—,—,—
data,80,15.7,13.7,69.2,8.44,2.45,404,—,—,—,—,—,—
data,90,18.2,14.44,77.6,9.3,2.73,348,—,—,—,—,—,—
data,100,20.6,15.24,85.6,10.12,3.02,307,—,—,—,—,—,—
data,150,32.1,19.3,128,14.48,4.48,195,—,—,—,—,—,—
data,200,43.2,23.5,170,18.9,5.92,144,40,—,—,—,—,—
data,250,54,28,212,23.45,7.35,114,46,—,—,—,—,—
data,300,65,32.5,254,28,8.79,95,52.5,15,6,3,30,20
data,400,87.6,41.9,338,37.1,11.7,70.8,66,21,7.2,3.2,42,28
data,500,110,51.6,423,46.2,14.6,56.4,79,25,7.8,3.4,50,34
data,600,132,61.4,508,55.4,17.5,47,92,30,8.5,3.6,58,40
data,700,154,71.1,592,64.6,20.45,40.3,106,35,9,3.9,67,45
data,800,176,81,677,73.8,23.35,35.2,120,39,9.8,4.1,74,50
data,900,198,91,762,83,26.3,31.3,135,41,10.7,4.3,82,57
data,1000,220,100.7,896,92.1,29.2,28.2,149,43,11.5,4.5,90,62
data,1500,330,150,1270,138.2,43.8,18.7,—,65,15.2,6.3,132,90
data,2000,440,200,1690,184.2,58.4,14.1,—,86,19.5,7.5,172,118
data,2500,550,250,2120,230,73,11.3,—,108,24,9,218,147
data,3000,660,300,2540,276,87.6,9.4,—,129,28.5,11,258,172
data,4000,880,400,3380,368,117,7.05,—,172,37,14,337,230
data,5000,1100,500,4230,461,146,5.64,—,215,47,18,425,290
data,6000,1320,600,5080,553,175,4.7,—,258,57,22,520,350
data,7000,1540,700,5920,645,205,4.03,—,300,67,25,600,410
data,8000,1760,800,6770,737,234,3.52,—,344,76,29,680,465
data,9000,1980,900,7620,829,263,3.13,—,387,86,32,780,520
data,10000,2200,1000,8460,921,292,2.82,—,430,96,35,850,575
data,15000,3300,1500,13700,—,438,2.5,—,650,147,53,1280,860
data,20000,4400,2000,18400,—,584,1.4,—,860,203,70,1715,1150
