,numeric,numeric,numeric,numeric,,,,,,,
heading,Discharge (m3/h),V (m/sec),V2/2g (meters),hf (m / 100 m of pipe),,,,,,,
data,0.01135625,0.0469392,0.000112471,0.203,,,,,,,
data,0.02271249,0.0938784,0.00045019,0.405,,,,,,,
data,0.03406874,0.1408176,0.001011936,0.608,,,,,,,
data,0.04542498,0.1880616,0.001801368,0.81,,,,,,,
data,0.05678123,0.2350008,0.002813304,1.013,,,,,,,
data,0.09084997,0.374904,0.00719328,3.7,,,,,,,
data,0.13627495,0.56388,0.01621536,7.6,,,,,,,
data,0.18169994,0.752856,0.02883408,12.7,,,,,,,
data,0.22712492,0.938784,0.04501896,19.1,,,,,,,
data,0.27254991,1.12776,0.0649224,26.7,,,,,,,
data,0.31797489,1.316736,0.088392,35.3,,,,,,,
data,0.36339988,1.502664,0.1152144,45.2,,,,,,,
data,0.408824865,1.69164,0.1459992,56.4,,,,,,,
data,0.45424985,1.880616,0.1801368,69,,,,,,,
data,0.567812312,2.350008,0.2813304,105,,,,,,,
data,0.681374774,2.8194,0.405384,148,,,,,,,
data,0.794937237,3.288792,0.551688,200,,,,,,,
data,0.908499699,3.758184,0.719328,259,,,,,,,
data,1.022062162,4.227576,0.911352,326,,,,,,,
data,1.135624624,4.700016,1.124712,398,,,,,,,
