,numeric,numeric,string,string,string,string,string
heading,Outside Diameter (mm),"Nominal Weight, Threads and Coupling (kg per m)",Grade,Short Thread,Long Thread,Buttress Thread,Extreme Line Thread
data,4.5,14.14,"H,J,K",X,-,-,-
data,4.5,15.63,"J,K",X,-,X,-
data,4.5,17.26,"J,K",X,X,X,-
data,4.5,17.26,N,-,X,X,-
data,4.5,20.09,N,-,X,X,-
data,5,17.11,"J,K",X,-,-,-
data,5,19.35,"J,K",X,X,X,-
data,5,22.32,"J,K",X,X,X,X
data,5,22.32,N,-,X,X,X
data,5,26.79,N,-,X,X,X
data,5.5,20.83,"H,J,K",X,-,-,-
data,5.5,23.07,"J,K",X,X,X,X
data,5.5,25.30,"J,K",X,X,X,X
data,5.5,25.30,N,-,X,X,X
data,5.5,29.76,N,-,X,X,X
data,5.5,34.23,N,-,X,X,X
data,6.625,29.76,H,X,-,-,-
data,6.625,29.76,"J,K",X,X,X,-
data,6.625,35.72,"J,K",X,X,X,X
data,6.625,35.72,N,-,X,X,X
data,6.625,41.67,N,-,X,X,X
data,6.625,47.62,N,-,X,X,X
data,7,25.30,H,X,-,-,-
data,7,29.76,"H,J,K",X,-,-,-
data,7,34.23,"J,K",X,X,X,X
data,7,34.23,N,-,X,X,X
data,7,38.69,"J,K",X,X,X,X
data,7,38.69,N,-,X,X,X
data,7,43.16,N,-,X,X,X
data,7,47.62,N,-,X,X,X
data,7,52.09,N,-,X,X,X
data,7,56.55,N,-,X,X,X
data,7.625,35.72,H,X,-,-,-
data,7.625,39.29,"J,K",X,X,X,X
data,7.625,39.29,N,-,X,X,X
data,7.625,44.20,N,-,X,X,X
data,7.625,50.15,N,-,X,X,X
data,7.625,58.04,N,-,X,X,X
