,data,data,data,data,data,data,data,data,data,data,data
heading,Nominal Size,Nominal Outside dia [in],API Standard,"Standard
X-Strong
XX-Strong",Pipe Schedule,"Wall Thickness
in. Nom",Internal Diameter in. Nom,Internal Area Square Inches,Internal Diameter Feet,Internal Area Square Feet,"e/D
e=0.00015 Ft."
data,26,26,5L 5LX,,,0.25,25.5,510.705,2.125,3.547,0.000071
data,26,26,5L 5LX,,,0.281,25.438,508.225,2.120,3.529,0.000071
data,26,26,5L 5LX,,10,0.312,25.376,505.750,2.115,3.512,0.000071
data,26,26,5L 5LX,,,0.344,25.312,503.203,2.109,3.494,0.000071
data,26,26,5L 5LX,STD,,0.375,25.25,500.740,2.104,3.477,0.000071
data,26,26,5LX,,,0.406,25.188,498.284,2.099,3.460,0.000071
data,26,26,5L 5LX,,,0.438,25.124,495.755,2.094,3.443,0.000072
data,26,26,5LX,,,0.469,25.062,493.312,2.089,3.426,0.000072
data,26,26,5L 5LX,XS,20,0.5,25,490.874,2.083,3.409,0.000072
data,26,26,5L 5LX,,,0.625,24.75,481.105,2.063,3.341,0.000073
data,28,28,5L 5LX,,,0.25,27.5,593.957,2.292,4.125,0.000065
data,28,28,5L 5LX,,,0.281,27.438,591.282,2.287,4.106,0.000066
data,28,28,5L 5LX,,10,0.312,27.376,588.613,2.281,4.088,0.000066
data,28,28,5LX,,,0.344,27.312,585.864,2.276,4.069,0.000066
data,28,28,5L 5LX,STD,,0.375,27.25,583.207,2.271,4.050,0.000066
data,28,28,5LX,,,0.406,27.188,580.556,2.266,4.032,0.000066
data,28,28,5L 5LX,,,0.438,27.124,577.826,2.260,4.013,0.000066
data,28,28,5LX,,,0.469,27.062,575.188,2.255,3.994,0.000067
data,28,28,5L 5LX,XS,20,0.5,27,572.555,2.250,3.976,0.000067
data,28,28,5L 5LX,,30,0.625,26.75,562.001,2.229,3.903,0.000067
data,30,30,5L 5LX,,5S,0.25,29.5,683.493,2.458,4.746,0.000061
data,30,30,5L 5LX,,,0.281,29.438,680.623,2.453,4.727,0.000061
data,30,30,5L 5LX,,10,0.312,29.376,677.759,2.448,4.707,0.000061
data,30,30,5LX,,,0.344,29.312,674.809,2.443,4.686,0.000061
data,30,30,5L 5LX,STD,,0.375,29.25,671.957,2.438,4.666,0.000062
data,30,30,5LX,,,0.406,29.188,669.112,2.432,4.647,0.000062
data,30,30,5L 5LX,,,0.438,29.124,666.181,2.427,4.626,0.000062
data,30,30,5LX,,,0.469,29.062,663.347,2.422,4.607,0.000062
data,30,30,5L 5LX,XS,20,0.5,29,660.520,2.417,4.587,0.000062
data,30,30,5L 5LX,,30,0.625,28.75,649.181,2.396,4.508,0.000063
data,32,32,5L 5LX,,5S,0.25,31.5,779.311,2.625,5.412,0.000057
data,32,32,5L 5LX,,,0.281,31.438,776.247,2.620,5.391,0.000057
data,32,32,5L 5LX,,10,0.312,31.376,773.188,2.615,5.369,0.000057
data,32,32,5LX,,,0.344,31.312,770.037,2.609,5.347,0.000057
data,32,32,5L 5LX,STD,,0.375,31.25,766.990,2.604,5.326,0.000058
data,32,32,5LX,,,0.406,31.188,763.950,2.599,5.305,0.000058
data,32,32,5L 5LX,,,0.438,31.124,760.818,2.594,5.283,0.000058
data,32,32,5LX,,,0.469,31.062,757.790,2.589,5.262,0.000058
data,32,32,5L 5LX,,20,0.5,31,754.768,2.583,5.241,0.000058
data,32,32,5L 5LX,,30,0.625,30.75,742.643,2.563,5.157,0.000059
data,32,32,5L 5LX,,40,0.688,30.624,736.569,2.552,5.115,0.000059
data,34,34,5L 5LX,,,0.25,33.5,881.413,2.792,6.121,0.000054
data,34,34,5L 5LX,,,0.281,33.438,878.154,2.787,6.098,0.000054
data,34,34,5L 5LX,,10,0.312,33.376,874.900,2.781,6.076,0.000054
data,34,34,5LX,,,0.344,33.312,871.548,2.776,6.052,0.000054
data,34,34,5L 5LX,STD,,0.375,33.25,868.307,2.771,6.030,0.000054
data,34,34,5LX,,,0.406,33.188,865.072,2.766,6.007,0.000054
data,34,34,5L 5LX,,,0.438,33.124,861.738,2.760,5.984,0.000054
data,34,34,5LX,,,0.469,33.062,858.515,2.755,5.962,0.000054
data,34,34,5L 5LX,XS,20,0.5,33,855.299,2.750,5.940,0.000055
data,34,34,5L 5LX,,30,0.625,32.75,842.389,2.729,5.850,0.000055
data,34,34,5L 5LX,,40,0.688,32.624,835.919,2.719,5.805,0.000055
data,36,36,5L 5LX,,,0.25,35.5,989.798,2.958,6.874,0.000051
data,36,36,5L 5LX,,,0.281,35.438,986.344,2.953,6.850,0.000051
data,36,36,5L 5LX,,10,0.312,35.376,982.895,2.948,6.826,0.000051
data,36,36,5LX,,,0.344,35.312,979.342,2.943,6.801,0.000051
data,36,36,5L 5LX,STD,,0.375,35.25,975.906,2.938,6.777,0.000051
data,36,36,5LX,,,0.406,35.188,972.476,2.932,6.753,0.000051
data,36,36,5L 5LX,,,0.438,35.124,968.942,2.927,6.729,0.000051
data,36,36,5LX,,,0.469,35.062,965.524,2.922,6.705,0.000051
data,36,36,5L 5LX,XS,20,0.5,35,962.113,2.917,6.681,0.000051
data,36,36,5L 5LX,,,0.562,34.876,955.308,2.906,6.634,0.000052
data,36,36,5L 5LX,,30,0.625,34.75,948.417,2.896,6.586,0.000052
data,36,36,5L 5LX,,40,0.75,34.5,934.820,2.875,6.492,0.000052
