,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,Nominal Outside dia [in],"Wall Thickness
in. Nom",Internal Diameter in. Nom,Internal Area Square Inches,Internal Diameter Feet,Internal Area Square Feet,"e/D
Relative Roughness","e
Absolute Roughness (ft)","Plain-End Weight
lb/ft Nom","Maxximum Allowable Residue, grams per linear foot"
data,0.072,0.072,0.023,0.026,0.0005309,0.002166667,3.68701E-06,0.923076923,0.002000,0.01373,0.0002
data,0.072,0.072,0.022,0.028,0.0006158,0.002333333,4.27606E-06,0.857142857,0.002000,0.134,0.00021
data,0.081,0.081,0.025,0.031,0.0007548,0.002583333,5.24144E-06,0.774193548,0.002000,0.01705,0.00023
data,0.081,0.081,0.024,0.033,0.0008553,0.00275,5.93957E-06,0.727272727,0.002000,0.01666,0.00025
data,0.087,0.087,0.0255,0.036,0.0010179,0.003,7.06858E-06,0.666666667,0.002000,0.0191,0.00027
data,0.087,0.087,0.024,0.039,0.0011946,0.00325,8.29577E-06,0.615384615,0.002000,0.01842,0.00029
data,0.093,0.093,0.0255,0.042,0.0013854,0.0035,9.62113E-06,0.571428571,0.002000,0.02096,0.00032
data,0.097,0.097,0.025,0.046,0.0016619,0.003833333,1.1541E-05,0.52173913,0.002000,0.02221,0.00035
data,0.099,0.099,0.025,0.049,0.0018857,0.004083333,1.30954E-05,0.489795918,0.002000,0.02253,0.00037
data,0.106,0.106,0.026,0.054,0.0022902,0.0045,1.59043E-05,0.444444444,0.002000,0.02533,0.00041
data,0.112,0.112,0.0265,0.059,0.0027340,0.004916667,1.89859E-05,0.406779661,0.002000,0.0276,0.00044
data,0.125,0.125,0.0305,0.064,0.0032170,0.005333333,2.23402E-05,0.375,0.002000,0.03511,0.00048
data,0.125,0.125,0.0275,0.07,0.0038485,0.005833333,2.67254E-05,0.342857143,0.002000,0.03266,0.00053
data,0.125,0.125,0.025,0.075,0.0044179,0.00625,3.06796E-05,0.32,0.002000,0.03045,0.00057
data,0.145,0.145,0.0325,0.08,0.0050265,0.006666667,3.49066E-05,0.3,0.002000,0.04453,0.0006
data,0.145,0.145,0.03,0.085,0.0056745,0.007083333,3.94063E-05,0.282352941,0.002000,0.04202,0.00064
data,0.145,0.145,0.0275,0.09,0.0063617,0.0075,4.41786E-05,0.266666667,0.002000,0.03936,0.00068
data,0.16,0.16,0.03,0.1,0.0078540,0.008333333,5.45415E-05,0.24,0.002000,0.0475,0.00075
data,0.16,0.16,0.025,0.11,0.0095033,0.009166667,6.59953E-05,0.218181818,0.002000,0.04111,0.00083
data,0.188,0.188,0.034,0.12,0.0113097,0.01,7.85398E-05,0.2,0.002000,0.06377,0.0009
data,0.188,0.188,0.029,0.13,0.0132732,0.010833333,9.21752E-05,0.184615385,0.002000,0.05616,0.00098
data,0.2,0.2,0.0275,0.145,0.0165130,0.012083333,0.000114674,0.165517241,0.002000,0.05779,0.00109
data,0.22,0.22,0.03,0.16,0.0201062,0.013333333,0.000139626,0.15,0.002000,0.06943,0.00121
data,0.24,0.24,0.0325,0.175,0.0240528,0.014583333,0.000167033,0.137142857,0.002000,0.08107,0.00132
