,numeric,numeric,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,"Outside Diameter, inches",Identification,"Wall Thickness, inches",Pressure Class,"Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
data,6,6.14,DR51,0.12,80 psi,5.892,0.491,0.1893441,0.000014,0.000007
data,6,6.14,DR41,0.15,100 psi,5.832,0.486,0.1854763,0.000014,0.000007
data,6,6.14,DR32.5,0.189,125 psi,5.751,0.4792,0.1803793,0.000015,0.000007
data,8,8.16,DR51,0.16,80 psi,7.83,0.6525,0.3344223,0.000011,0.000007
data,8,8.16,DR41,0.199,100 psi,7.75,0.6458,0.3275909,0.000011,0.000007
data,8,8.16,DR32.5,0.251,125 psi,7.643,0.6369,0.3185886,0.000011,0.000007
data,10,10.2,DR51,0.2,80 psi,9.788,0.8157,0.5225349,0.0000086,0.000007
data,10,10.2,DR41,0.249,100 psi,9.688,0.8073,0.5118609,0.0000087,0.000007
data,10,10.2,DR32.5,0.314,125 psi,9.553,0.7961,0.4977947,0.0000088,0.000007
data,12,12.24,DR51,0.24,80 psi,11.746,0.9788,0.7524503,0.0000072,0.000007
data,12,12.24,DR41,0.299,100 psi,11.625,0.9688,0.7370796,0.0000072,0.000007
data,12,12.24,DR32.5,0.377,125 psi,11.464,0.9553,0.7168244,0.0000073,0.000007
data,15,15.3,DR51,0.3,80 psi,14.682,1.2235,1.1757035,0.0000057,0.000007
data,15,15.3,DR41,0.373,100 psi,14.531,1.2109,1.1516869,0.0000058,0.000007
data,15,15.3,DR32.5,0.471,125 psi,14.33,1.1942,1.1200382,0.0000059,0.000007
data,15,15.3,DR26,0.588,160 psi,14.088,1.174,1.08246,0.000006,0.000007
data,15,15.3,DR21,0.729,200 psi,13.799,1.1499,1.03856,0.0000061,0.000007
data,18,18.701,DR51,0.367,80 psi,17.946,1.4955,1.7564857,0.0000047,0.000007
data,18,18.701,DR41,0.456,100 psi,17.761,1.4801,1.7206052,0.0000047,0.000007
data,18,18.701,DR32.5,0.575,125 psi,17.516,1.4596,1.6733224,0.0000048,0.000007
data,18,18.701,DR26,0.719,160 psi,17.219,1.4349,1.6171811,0.0000049,0.000007
data,21,22.047,DR51,0.432,80 psi,21.156,1.763,2.4412596,0.000004,0.000007
data,21,22.047,DR41,0.538,100 psi,20.939,1.7449,2.3913909,0.000004,0.000007
data,21,22.047,DR32.5,0.678,125 psi,20.65,1.7208,2.3256747,0.0000041,0.000007
data,21,22.047,DR26,0.848,160 psi,20.3,1.6917,2.2476464,0.0000041,0.000007
data,24,24.803,DR51,0.486,80 psi,23.801,1.9834,3.0897504,0.0000035,0.000007
data,24,24.803,DR41,0.605,100 psi,23.557,1.9631,3.0266346,0.0000036,0.000007
data,24,24.803,DR32.5,0.763,125 psi,23.231,1.9359,2.9434617,0.0000036,0.000007
data,24,24.803,DR26,0.954,160 psi,22.838,1.9032,2.8447062,0.0000037,0.000007
data,27,27.953,DR51,0.548,80 psi,26.824,2.2353,3.9243869,0.0000031,0.000007
data,27,27.953,DR41,0.682,100 psi,26.549,2.2124,3.8442216,0.0000032,0.000007
data,27,27.953,DR32.5,0.86,125 psi,26.181,2.1818,3.7385812,0.0000032,0.000007
data,27,27.953,DR26,1.075,160 psi,25.738,2.1449,3.6131487,0.0000033,0.000007
